순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
218,약국,참사랑약국,대전광역시 서구 변동 12-1,대전광역시 서구 동서대로 1090,3017054000,변동,3017010200,변동,김**,,,36.3283321,127.3814372,2025-01-17
219,약국,참사랑온누리약국,대전광역시 서구 탄방동 690,대전광역시 서구 계룡로553번안길 37,3017055500,탄방동,3017010600,탄방동,박**,,,36.3461098,127.3872644,2025-01-17
220,약국,천사약국,대전광역시 서구 둔산동 915,대전광역시 서구 청사로 228,3017064000,둔산2동,3017011200,둔산동,송**,,,36.3594322,127.3891005,2025-01-17
221,약국,천수약국,대전광역시 서구 가장동 42-1,대전광역시 서구 도산로 276,3017057000,가장동,3017010900,가장동,윤**,,,36.33138379,127.3848845,2025-01-17
222,약국,청사약국,대전광역시 서구 둔산동 920,대전광역시 서구 청사로 189,3017064000,둔산2동,3017011200,둔산동,부**,,,36.3622272,127.3849234,2025-01-17
223,약국,청춘약국,대전광역시 서구 탄방동 746,대전광역시 서구 문정로 77,3017055500,탄방동,3017010600,탄방동,정**,,,36.34730027,127.3880063,2025-01-17
224,약국,초록큰사랑약국,대전광역시 서구 복수동 621,대전광역시 서구 복수동로 61,3017051000,복수동,3017010100,복수동,곽**,,,36.29882988,127.3788571,2025-01-17
225,약국,케이엠티약국,대전광역시 서구 괴정동 5-9,대전광역시 서구 계룡로 586,3017056000,괴정동,3017010800,괴정동,김**,,,36.34151118,127.3883769,2025-01-17
226,약국,코끼리약국,대전광역시 서구 도안동 1793,대전광역시 서구 도안동로 3,3017059300,도안동,3017011500,도안동,김**,,,36.30549599,127.3527122,2025-01-17
227,약국,큰마을약국,대전광역시 서구 갈마동 1418,대전광역시 서구 대덕대로 150,3017058200,갈마2동,3017011100,갈마동,권**,,,36.34468943,127.3768704,2025-01-17
228,약국,타임약국,대전광역시 서구 도안동 880,대전광역시 서구 도안북로 107,3017059300,도안동,3017011500,도안동,오**,,,36.3303607,127.3405754,2025-01-17
229,약국,탄방대한약국,대전광역시 서구 탄방동 673,대전광역시 서구 문정로2번길 95,3017055500,탄방동,3017010600,탄방동,최**,,,36.34331561,127.3855091,2025-01-17
230,약국,탄방대한약국,대전광역시 서구 탄방동 673,대전광역시 서구 문정로2번길 95,3017055500,탄방동,3017010600,탄방동,김**,,,36.34331561,127.3855091,2025-01-17
231,약국,탄방세이약국,대전광역시 서구 탄방동 744,대전광역시 서구 문정로 85,3017055500,탄방동,3017010600,탄방동,홍**,,,36.34717955,127.3888549,2025-01-17
232,약국,탄방우리약국,대전광역시 서구 탄방동 642,대전광역시 서구 문정로48번길 70,3017055500,탄방동,3017010600,탄방동,손**,,,36.34361715,127.3840781,2025-01-17
233,약국,탄방우리약국,대전광역시 서구 탄방동 642,대전광역시 서구 문정로48번길 70,3017055500,탄방동,3017010600,탄방동,박**,,,36.34361715,127.3840781,2025-01-17
234,약국,탄방우리약국,대전광역시 서구 탄방동 642,대전광역시 서구 문정로48번길 70,3017055500,탄방동,3017010600,탄방동,정**,,,36.34361715,127.3840781,2025-01-17
